URL,File Name
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-betriebe-anlagen-5411204239005.xlsx?__blob=publicationFile,statistischer-bericht-betriebe-anlagen-5411204239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-5126105217005.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-5126105217005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Migration-Integration/Publikationen/Downloads-Migration/integrationsindikatoren-5122122217005.xlsx?__blob=publicationFile,integrationsindikatoren-5122122217005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhaeuser/Publikationen/Downloads-Krankenhaeuser/statistischer-bericht-kostennachweis-krankenhaeuser-2120630227005.xlsx?__blob=publicationFile,statistischer-bericht-kostennachweis-krankenhaeuser-2120630227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhaeuser/Publikationen/Downloads-Krankenhaeuser/operationen-prozeduren-endpunkt-leseprobe-5231402.xlsx?__blob=publicationFile,operationen-prozeduren-endpunkt-leseprobe-5231402.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Haushalte-Familien/Publikationen/Downloads-Haushalte/statistischer-bericht-mikrozensus-haushalte-familien-2010300237005-erstergebnisse.xlsx?__blob=publicationFile,statistischer-bericht-mikrozensus-haushalte-familien-2010300237005-erstergebnisse.xlsx
https://www.destatis.de/DE/Themen/Staat/Oeffentlicher-Dienst/Publikationen/Downloads-Oeffentlicher-Dienst/versorgungsempfaenger-2140610227005.xlsx?__blob=publicationFile,versorgungsempfaenger-2140610227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/ueberblick/Publikationen/Downloads/statistischer-bericht-ugr-ueberblick-5850026239005.xlsx?__blob=publicationFile,statistischer-bericht-ugr-ueberblick-5850026239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/Wasserwirtschaft/Publikationen/Downloads-Wasserwirtschaft/wasserwirtschaft-2190213199005.xlsx?__blob=publicationFile,wasserwirtschaft-2190213199005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Grosshandelspreisindex/Publikationen/Downloads-Grosshandelspreise/grosshandelsverkaufspreise-altpapier-xlsx-5612802.xlsx?__blob=publicationFile,grosshandelsverkaufspreise-altpapier-xlsx-5612802.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Bautaetigkeit/baufertigstellungen-baustoff-xlsx-5311202.xlsx?__blob=publicationFile,baufertigstellungen-baustoff-xlsx-5311202.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-2010130227005.xlsx?__blob=publicationFile,statistischer-bericht-bevoelkerungsfortschreibung-2010130227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bildung-Forschung-Kultur/Hochschulen/Publikationen/Downloads-Hochschulen/schnellmeldung-ws-vorl-5213103238005.xlsx?__blob=publicationFile,schnellmeldung-ws-vorl-5213103238005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-eheschliessungen-5126103227005.xlsx?__blob=publicationFile,statistischer-bericht-eheschliessungen-5126103227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Soziales/Elterngeld/Publikationen/Downloads-Elterngeld/statistischer-bericht-elterngeld-geburten-j-5229201217005.xlsx?__blob=publicationFile,statistischer-bericht-elterngeld-geburten-j-5229201217005.xlsx
