File,Sheet,Total Rows,Removed Rows,Total Cells,Removed Cells,Removed Whitespaces,Total Columns,Removed Columns,Original Size,Cleaned Size,Size Reduction Factor
C:/Temp/excelshrinktest/downloaded\1980.xlsx,1980_02.01.-31.12.,125,0,18205,0,0,12,0,374135,374117,4.811097598460449e-05
C:/Temp/excelshrinktest/downloaded\1980.xlsx,1980-01.01.,160,0,18660,0,0,12,0,400653,400635,4.492665723206865e-05
C:/Temp/excelshrinktest/downloaded\1980.xlsx,1980,210,0,19310,0,0,12,0,428496,428478,4.200739330122102e-05
C:/Temp/excelshrinktest/downloaded\1980.xlsx,Deckblatt,48,38,422,406,0,2,0,12246,2504,0.7955250694104198
C:/Temp/excelshrinktest/downloaded\1980.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1981.xlsx,1981_02.01.-31.12.,62,5,3946,108,0,2,0,91154,88663,0.02732738003817715
C:/Temp/excelshrinktest/downloaded\1981.xlsx,1981_01.01.,533,0,10114,88,0,12,0,332695,330965,0.0051999579194156815
C:/Temp/excelshrinktest/downloaded\1981.xlsx,1981,572,0,10617,84,0,13,0,347036,345386,0.004754549960234673
C:/Temp/excelshrinktest/downloaded\1981.xlsx,Deckblatt,48,38,422,406,0,2,0,12246,2504,0.7955250694104198
C:/Temp/excelshrinktest/downloaded\1981.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1982.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1982.xlsx,1982,105,1,5054,86,0,8,0,125142,123414,0.013808313755573669
C:/Temp/excelshrinktest/downloaded\1982.xlsx,Deckblatt,48,38,422,406,0,2,0,12245,2503,0.7955900367496938
C:/Temp/excelshrinktest/downloaded\1983.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1983.xlsx,1983,81,1,4658,84,0,11,0,109991,108346,0.014955769108381594
C:/Temp/excelshrinktest/downloaded\1983.xlsx,Deckblatt,48,38,422,406,0,2,0,12244,2502,0.7956550147010781
C:/Temp/excelshrinktest/downloaded\1984.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1984.xlsx,1984,73,1,4634,86,0,10,0,108190,106507,0.01555596635548572
C:/Temp/excelshrinktest/downloaded\1984.xlsx,Deckblatt,48,38,422,406,0,2,0,12245,2502,0.7956717027358106
C:/Temp/excelshrinktest/downloaded\1985.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1985.xlsx,1985,56,2,2875,95,0,12,0,71566,69567,0.02793225833496353
C:/Temp/excelshrinktest/downloaded\1985.xlsx,Deckblatt,48,38,422,406,0,2,0,12245,2502,0.7956717027358106
C:/Temp/excelshrinktest/downloaded\1986.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1986.xlsx,1986,65,2,2992,95,0,12,0,76268,74269,0.026210206115277704
C:/Temp/excelshrinktest/downloaded\1986.xlsx,Deckblatt,48,38,422,406,0,2,0,12245,2502,0.7956717027358106
C:/Temp/excelshrinktest/downloaded\1987.xlsx,1987-2805-3112,42,2,2833,161,0,12,0,60666,57437,0.05322585962483104
C:/Temp/excelshrinktest/downloaded\1987.xlsx,1987-0101-2705,155,2,4302,446,0,12,0,119907,111082,0.07359870566355592
